device_id,latitude,longitude,accuracy,provider,timestamp_iso,timestamp_raw,received_at,raw_json
23,17.670891,75.9129104,42,fused,2025-11-27T15:16:33+00:00,1764256593,2025-11-27T15:22:24.399881+00:00,"{""_type"": ""location"", ""BSSID"": ""c0:25:2f:9a:ce:04"", ""SSID"": ""Perampalli "", ""_id"": ""bc6730d8"", ""acc"": 42, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""w"", ""created_at"": 1764256598, ""lat"": 17.670891, ""lon"": 75.9129104, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256593, ""vac"": 1, ""vel"": 0}"
23,17.670891,75.9129104,42,u,2025-11-27T15:16:33+00:00,1764256593,2025-11-27T15:22:24.544368+00:00,"{""_type"": ""location"", ""BSSID"": ""c0:25:2f:9a:ce:04"", ""SSID"": ""Perampalli "", ""_id"": ""4b69d5fe"", ""acc"": 42, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""w"", ""created_at"": 1764256601, ""lat"": 17.670891, ""lon"": 75.9129104, ""m"": 2, ""source"": ""fused"", ""t"": ""u"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256593, ""vac"": 1, ""vel"": 0}"
23,17.670891,75.9129104,49,fused,2025-11-27T15:16:38+00:00,1764256598,2025-11-27T15:22:24.799047+00:00,"{""_type"": ""location"", ""BSSID"": ""c0:25:2f:9a:ce:04"", ""SSID"": ""Perampalli "", ""_id"": ""d3587bd6"", ""acc"": 49, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""w"", ""created_at"": 1764256603, ""lat"": 17.670891, ""lon"": 75.9129104, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256598, ""vac"": 1, ""vel"": 0}"
23,17.6708902,75.9129118,20,fused,2025-11-27T15:16:43+00:00,1764256603,2025-11-27T15:22:24.930230+00:00,"{""_type"": ""location"", ""BSSID"": ""c0:25:2f:9a:ce:04"", ""SSID"": ""Perampalli "", ""_id"": ""e1388dbd"", ""acc"": 20, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""w"", ""created_at"": 1764256608, ""lat"": 17.6708902, ""lon"": 75.9129118, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256603, ""vac"": 1, ""vel"": 0}"
23,17.6708903,75.9129108,20,fused,2025-11-27T15:16:52+00:00,1764256612,2025-11-27T15:22:25.029201+00:00,"{""_type"": ""location"", ""BSSID"": ""c0:25:2f:9a:ce:04"", ""SSID"": ""Perampalli "", ""_id"": ""e753b697"", ""acc"": 20, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""w"", ""created_at"": 1764256617, ""lat"": 17.6708903, ""lon"": 75.9129108, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256612, ""vac"": 1, ""vel"": 0}"
23,17.6709055,75.9129134,34,fused,2025-11-27T15:17:02+00:00,1764256622,2025-11-27T15:22:25.161039+00:00,"{""_type"": ""location"", ""BSSID"": ""c0:25:2f:9a:ce:04"", ""SSID"": ""Perampalli "", ""_id"": ""a258d230"", ""acc"": 34, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 9, ""conn"": ""w"", ""created_at"": 1764256622, ""lat"": 17.6709055, ""lon"": 75.9129134, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256622, ""vac"": 1, ""vel"": 0}"
23,17.6708933,75.9129076,13,fused,2025-11-27T15:17:10+00:00,1764256630,2025-11-27T15:22:25.269271+00:00,"{""_type"": ""location"", ""_id"": ""136c9155"", ""acc"": 13, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764256633, ""lat"": 17.6708933, ""lon"": 75.9129076, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256630, ""vac"": 1, ""vel"": 0}"
23,17.6708883,75.9129127,23,fused,2025-11-27T15:17:19+00:00,1764256639,2025-11-27T15:22:25.369659+00:00,"{""_type"": ""location"", ""_id"": ""14c5571a"", ""acc"": 23, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764256639, ""lat"": 17.6708883, ""lon"": 75.9129127, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256639, ""vac"": 1, ""vel"": 0}"
23,17.6708867,75.9129056,12,fused,2025-11-27T15:17:27+00:00,1764256647,2025-11-27T15:22:25.469293+00:00,"{""_type"": ""location"", ""_id"": ""47ae7bd4"", ""acc"": 12, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764256650, ""lat"": 17.6708867, ""lon"": 75.9129056, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256647, ""vac"": 1, ""vel"": 0}"
23,17.6708897,75.912911,14,fused,2025-11-27T15:17:38+00:00,1764256658,2025-11-27T15:22:25.569573+00:00,"{""_type"": ""location"", ""_id"": ""74cab00a"", ""acc"": 14, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764256661, ""lat"": 17.6708897, ""lon"": 75.912911, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256658, ""vac"": 1, ""vel"": 0}"
23,17.6708928,75.9129091,13,fused,2025-11-27T15:17:54+00:00,1764256674,2025-11-27T15:22:25.669352+00:00,"{""_type"": ""location"", ""_id"": ""2279aea9"", ""acc"": 13, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764256677, ""lat"": 17.6708928, ""lon"": 75.9129091, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256674, ""vac"": 1, ""vel"": 0}"
23,17.6708897,75.9129112,14,fused,2025-11-27T15:18:06+00:00,1764256686,2025-11-27T15:22:25.815679+00:00,"{""_type"": ""location"", ""_id"": ""e8fefb4a"", ""acc"": 14, ""alt"": 405, ""batt"": 79, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1764256690, ""lat"": 17.6708897, ""lon"": 75.9129112, ""m"": 2, ""source"": ""fused"", ""tid"": ""23"", ""topic"": ""owntracks/user/2023"", ""tst"": 1764256686, ""vac"": 1, ""vel"": 0}"
